ppn,phase,condition,response,reward,count,sum,percent,group
31,c,mh,m,3,45,96,46.875,mhm
31,lr,h,5,5,97,100,97.0,h5
31,lr,l,1,1,92,99,92.92929292929293,l1
31,lr,m,3,3,94,99,94.94949494949495,m3
31,t,lh,h,5,48,98,48.97959183673469,lhh
31,t,lh,l,1,50,98,51.02040816326531,lhl
31,t,lm,l,1,47,100,47.0,lml
31,t,lm,m,3,53,100,53.0,lmm
31,t,mh,h,5,60,99,60.60606060606061,mhh
31,t,mh,m,3,39,99,39.39393939393939,mhm
32,c,lh,h,1,52,100,52.0,lhh
32,c,lh,l,3,48,100,48.0,lhl
32,c,lm,l,3,42,100,42.0,lml
32,c,lm,m,5,58,100,57.99999999999999,lmm
32,c,mh,h,1,53,100,53.0,mhh
32,c,mh,m,5,47,100,47.0,mhm
32,lr,h,1,1,94,98,95.91836734693877,h1
32,lr,l,3,3,97,100,97.0,l3
32,lr,m,5,5,99,100,99.0,m5
32,t,lh,h,1,57,100,56.99999999999999,lhh
32,t,lh,l,3,43,100,43.0,lhl
32,t,lm,l,3,45,100,45.0,lml
32,t,lm,m,5,55,100,55.00000000000001,lmm
32,t,mh,h,1,55,99,55.55555555555556,mhh
32,t,mh,m,5,44,99,44.44444444444444,mhm
33,c,lh,h,3,45,98,45.91836734693878,lhh
33,c,lh,l,1,53,98,54.08163265306123,lhl
33,c,lm,l,1,61,100,61.0,lml
33,c,lm,m,5,39,100,39.0,lmm
33,c,mh,h,3,51,98,52.04081632653062,mhh
33,c,mh,m,5,47,98,47.95918367346938,mhm
33,lr,h,3,3,93,99,93.93939393939394,h3
33,lr,l,1,1,93,100,93.0,l1
33,lr,m,5,5,98,100,98.0,m5
33,t,lh,h,3,51,99,51.515151515151516,lhh
33,t,lh,l,1,48,99,48.484848484848484,lhl
33,t,lm,l,1,49,98,50.0,lml
33,t,lm,m,5,49,98,50.0,lmm
33,t,mh,h,3,41,97,42.2680412371134,mhh
33,t,mh,m,5,56,97,57.73195876288659,mhm
35,c,lh,h,5,45,99,45.45454545454545,lhh
35,c,lh,l,1,54,99,54.54545454545454,lhl
35,c,lm,l,1,53,99,53.535353535353536,lml
35,c,lm,m,3,46,99,46.464646464646464,lmm
35,c,mh,h,5,42,97,43.29896907216495,mhh
35,c,mh,m,3,55,97,56.70103092783505,mhm
35,lr,h,5,5,94,99,94.94949494949495,h5
35,lr,l,1,1,98,100,98.0,l1
35,lr,m,3,3,98,100,98.0,m3
35,t,lh,h,5,52,99,52.52525252525253,lhh
35,t,lh,l,1,47,99,47.474747474747474,lhl
35,t,lm,l,1,53,100,53.0,lml
35,t,lm,m,3,47,100,47.0,lmm
35,t,mh,h,5,49,96,51.041666666666664,mhh
35,t,mh,m,3,47,96,48.95833333333333,mhm
36,c,lh,h,1,61,99,61.61616161616161,lhh
